Vocab-expression	Vocab-meaning	Vocab-sound-local
酒	alcoholic drink, Japanese rice wine	sake	1
飲む	drink	nomu	1
大人	adult	otona	1
水	water	mizu	1
一杯	full	ippai	1
気	spirit, temperament	ki	1
分かる	understand	wakaru	1
遊ぶ	play	asobu	1
飛行機	airplane	hikouki	1
お願い	favor	onegai	1
続く	continue, follow	tsuzuku	1
首	neck	kubi	1
頭	head	atama	1
痛い	painful	itai	1
探す	search for, look for	sagasu	1
お手洗い	toilet, bathroom	otearai	1
冷たい	cold (things, touch)	tsumetai	1
汚い	dirty	kitanai	1
太い	thick, fat	futoi	1
弟	younger brother	otouto	1
神	god, spirit	kami	1
建てる	build, erect	tateru	1
大きい	big	ookii	1
同じ	same, identical	onaji	1
置く	put, leave	oku	1
辺	vicinity, part	hen	1
やる	do	yaru	1
一緒に	together, at the same time	isshoni	1
来年	next year	rainen	1
緑	green, foliage	midori	1
易しい	easy, simple	yasashii	1
留学生	student studying abroad	ryuugakusei	1
戻る	return, turn back	modoru	1
起きる	get up, get out of bed	okiru	1
起こる	happen	okoru	1
起こす	wake up	okosu	1
起きる	occur	okiru	1
寝る	sleep, go to sleep	neru	1
多分	probably, perhaps	tabun	1
座る	sit, sit down	suwaru	1
本	book, volume	hon	1
細い	thin, slender, narrow	hosoi	1
日記	diary	nikki	1
時々	sometimes	tokidoki	1
締める	tighten, fasten	shimeru	1
甘い	sweet	amai	1
辛い	spicy, salty	karai	1
変える	change	kaeru	1
決まる	be decided	kimaru	1
優しい	gentle, kind	yasashii	1
人	person	hito	1
夫	husband	otto	1
知る	know	shiru	1
誰	who, whom	dare	1
親	parent	oya	1
愛する	love, care for	aisuru	1
くれる	be given	kureru	1
妻	wife	tsuma	1
見える	be visible	mieru	1
兄	older brother	ani	1
酸っぱい	sour	suppai	1
小さい	small	chiisai	1
言葉	word, language	kotoba	1
おいしい	tasty	oishii	1
呼ぶ	call, name	yobu	1
胸	chest	mune	1
腰	hip, lower back	koshi	1
載せる	place, put on	noseru	1
低い	low, short	hikui	1
一番	most	ichiban	1
背	height, stature	se	1
円	circle	en	1
覚える	memorize, learn	oboeru	1
片仮名	katakana	katakana	1
平仮名	hiragana	hiragana	1
悲しい	sad	kanashii	1
美しい	beautiful	utsukushii	1
食べ物	food	tabemono	1
言う	say, tell	iu	1
授業	class, lesson	jugyou	1
手伝う	help, assist	tetsudau	1
飛ぶ	fly	tobu	1
歌う	sing	utau	1
死ぬ	die	shinu	1
大好き	love	daisuki	1
子供	child, kid	kodomo	1
狭い	narrow, restricted	semai	1
触る	touch, feel	sawaru	1
嫌い	dislike	kirai	1
有る	exist, possess	aru	1
浴びる	take (a shower)	abiru	1
生きる	live (one's life)	ikiru	1
長い	long	nagai	1
髪の毛	hair	kaminoke	1
鼻	nose	hana	1
腕	arm	ude	1
笑う	laugh, smile	warau	1
紙	paper	kami	1
入れる	put in	ireru	1
よう	way, like, kind	you	1
掛ける	hang, put on	kakeru	1
肩	shoulder	kata	1
僕	I (young male)	boku	1
曇る	become cloudy	kumoru	1
駄目	no good	dame	1
上る	go up	noboru	1
落ちる	fall, sink	ochiru	1
体	body, health	karada	1
大丈夫	alright, OK	daijoubu	1
病気	illness	byouki	1
百	hundred	hyaku	1
風邪	cold (illness)	kaze	1
顔	face	kao	1
軽い	light, light weight	karui	1
欲しい	want, desire	hoshii	1
万	ten thousand	man	1
奇麗	beautiful	kirei	1
渇く	be thirsty	kawaku	1
嬉しい	happy, glad	ureshii	1
感じる	feel, sense	kanjiru	1
なる	become	naru	1
ほとんど	almost, hardly	hotondo	1
十分	full, plentiful	juubun	1
分	amount, part, share	bun	1
いつでも	always, at all times	itsudemo	1
少年	boy	shounen	1
カップ	cup	kappu	1
しばらく	awhile, long time, for the time being	shibaraku	1
出口	exit, exit ramp	deguchi	1
大分	very, greatly	daibu	1
先週	last week	senshuu	1
男の子	boy, baby boy	otokonoko	1
おしゃれ	dressing up smartly, trendy	oshare	1
いたずら	mischief, prank	itazura	1
石	stone, small rock	ishi	1
林	woods, grove	hayashi	1
ぶどう	grapes	budou	1
ぺこぺこ	hungry, starving	pekopeko	1
シャープペンシル	mechanical pencil	shaapupenshiru	1
家	house, home	ie	1
空気	air, atmosphere	kuuki	1
人気	popularity, temperament of the people, business conditions	ninki	1
晴れ	fine weather, clear sky	hare	1
又	again, also, or	mata	1
暗い	dark, dreary, shadowy	kurai	1
東	east, eastern	higashi	1
北	north	kita	1
向こう	the other side, the other party, opponent	mukou	1
向く	turn, face, look	muku	1
入り口	entrance	iriguchi	1
ノート	note book, laptop	nooto	1
ふすま	sliding door, fusuma	fusuma	1
初め	beginning	hajime	1
明後日	day after tomorrow	asatte	1
半年	half a year	hantoshi	1
半月	half a month	hantsuki	1
カーテン	curtain	kaaten	1
毎朝	every morning	maiasa	1
今夜	tonight, this evening	konya	1
そば	buckwheat noodles, soba	soba	1
ごちそうする	treat	gochisousuru	1
夕食	supper	yuushoku	1
おかず	side dish	okazu	1
足りる	suffice, serve, be satisfied	tariru	1
最初	first, outset	saisho	1
はっきり	clearly	hakkiri	1
休日	holiday, day off	kyuujitsu	1
ドラマ	drama, theater, soap opera	dorama	1
花見	flower viewing	hanami	1
言い方	way of speaking, expression	iikata	1
ゆっくり	slowly	yukkuri	1
テキスト	textbook, text, text file	tekisuto	1
語る	tell, talk	kataru	1
子	child, kid	ko	1
右手	right hand	migite	1
字	character, letter	ji	1
覚める	awake, wake up	sameru	1
覚ます	awaken, wake up	samasu	1
いずれ	eventually, sometime	izure	1
話し合う	discuss, talk over	hanashiau	1
行う	do, carry out	okonau	1
向かう	face, confront, head toward	mukau	1
明日	tomorrow	ashita	1
仕方	way, method	shikata	1
休み	rest, holiday, absence	yasumi	1
帰り	return, going home	kaeri	1
大事	importance	daiji	1
半日	half a day	hannichi	1
まま	as is, still (in the current state)	mama	1
電話	telephone, phone call	denwa	1
電気	electricity, electric light	denki	1
夜中	midnight, dead of night	yonaka	1
開く	open	aku	1
ホーム	platform	hoomu	1
上り	going up, ascent	nobori	1
駅員	station employee	ekiin	1
一方	one way	ippou	1
通り	passage, street	toori	1
通う	go to and from, frequent a place	kayou	1
車	car	kuruma	1
通る	pass, take, go through	tooru	1
道路	road, street	douro	1
地図	map, atlas	chizu	1
なお	still, in addition	nao	1
つもり	intention, purpose	tsumori	1
止める	stop, turn off	tomeru	1
止まる	come to a stop, cease	tomaru	1
止む	stop, abate	yamu	1
森	thick woods, forest	mori	1
歩道	sidewalk, footpath	hodou	1
川	river, stream	kawa	1
今度	this time, next time	kondo	1
そんなに	that, so	sonnani	1
社長	president (of a company)	shachou	1
海	sea, ocean	umi	1
全く	entirely, truly, indeed	mattaku	1
人口	population	jinkou	1
億	hundred million	oku	1
黒	black	kuro	1
銀行	bank	ginkou	1
牛肉	beef	gyuuniku	1
グラム	gram	guramu	1
魚	fish	sakana	1
野菜	vegetable	yasai	1
本屋	bookstore, bookseller	honya	1
八百屋	vegetable store, greengrocer	yaoya	1
つく	be on, switched on	tsuku	1
茶	tea (plain form)	cha	1
お茶	tea (polite)	ocha	1
茶わん	tea cup, rice bowl	chawan	1
週末	weekend	shuumatsu	1
無理	unreasonable, impossible, forced	muri	1
無くなる	disappear, run short, get lost	nakunaru	1
作文	composition, essay	sakubun	1
ジャガイモ	potato	jagaimo	1
ストーブ	paraffin heater, stove	sutoobu	1
交通費	traveling expense, transportation cost	koutsuuhi	1
火	fire	hi	1
売り場	sales floor, department	uriba	1
サービス	service, on the house	saabisu	1
何度	how many degrees, how many times	nando	1
商品	goods, commodities	shouhin	1
上がる	go up, rise	agaru	1
ビル	building	biru	1
階段	steps, flight of stairs	kaidan	1
下りる	go down, come down	oriru	1
値段	price	nedan	1
ちょうど	just, as if	choudo	1
価格	price, cost	kakaku	1
最後	last, final	saigo	1
