Vocab-expression	Vocab-meaning	Vocab-sound-local
材料	material, factor	zairyou	1
動かす	move, operate	ugokasu	1
基づく	be based on	motozuku	1
基本	basis, foundation	kihon	1
準備	provide for, prepare for	junbi	1
施設	facilities, institution	shisetsu	1
説明	explanation, description	setsumei	1
公開	opening (to the public)	koukai	1
公園	park, public garden	kouen	1
動物園	zoo	doubutsuen	1
昼休み	noon recess, lunch break	hiruyasumi	1
祭り	festival	matsuri	1
国際	international	kokusai	1
以上	not less than, more than	ijou	1
飛行場	airport, airfield	hikoujou	1
航空便	airmail	koukuubin	1
最大	biggest, largest	saidai	1
設計	design, plan	sekkei	1
遠く	great distance	tooku	1
下る	go down, go down or away from a central place	kudaru	1
船便	surface mail, shipping service	funabin	1
船	ship, boat, vessel	fune	1
空港	airport	kuukou	1
港	port, harbor	minato	1
島	island, isle	shima	1
完成	completion, finish	kansei	1
全体	whole, total	zentai	1
平成	Heisei era	heisei	1
成功	success	seikou	1
原因	cause, origin	gen'in	1
投資	investment	toushi	1
一定	constant, standard	ittei	1
今後	after this, in the future	kongo	1
願う	wish, ask a favor, apply for	negau	1
直接	directly	chokusetsu	1
カード	card, credit card	kaado	1
正確	accurate, precise	seikaku	1
正しい	correct, righteous, lawful	tadashii	1
遊び	play, amusement	asobi	1
正直	honest, upright	shoujiki	1
異なる	differ	kotonaru	1
通常	common, ordinary	tsuujou	1
技術	skill, technology	gijutsu	1
非常に	very, extremely	hijouni	1
強調	emphasis, stress	kyouchou	1
良い	good, suitable, preferable	yoi	1
季節	season	kisetsu	1
調査	investigation, inquiry	chousa	1
提供	offer, provide	teikyou	1
提案	proposition, proposal	teian	1
案内	guide, inform	annai	1
連れて行く	take (a person) along	tsureteiku	1
連れて来る	bring (a person)	tsuretekuru	1
続ける	continue, keep up	tsuzukeru	1
さっき	some time ago, only a moment ago	sakki	1
来週	next week	raishuu	1
動き	movement, motion	ugoki	1
相談	consultation, advice	soudan	1
医者	doctor	isha	1
記者	journalist, reporter	kisha	1
毎晩	every evening	maiban	1
記録	record, documentation	kiroku	1
関する	concern, relate to	kansuru	1
関連	connection, relation	kanren	1
状況	state of affairs, conditions	joukyou	1
状態	state, appearance	joutai	1
治る	be cured, get well	naoru	1
政治	politics	seiji	1
政府	government, administration	seifu	1
党	political party	tou	1
政策	policy, political measures	seisaku	1
選ぶ	choose, elect	erabu	1
選手	representative athlete	senshu	1
彼ら	they	karera	1
選挙	election	senkyo	1
候補	candidacy, candidate	kouho	1
首相	prime minister	shushou	1
首都	capital	shuto	1
当たる	hit, strike	ataru	1
今朝	this morning	kesa	1
真っ赤	deep red	makka	1
改革	reform	kaikaku	1
革	leather	kawa	1
番組	program	bangumi	1
録音	sound recording	rokuon	1
組織	organization, constitution, tissue	soshiki	1
進む	advance, move forward	susumu	1
科学	science	kagaku	1
進学	entering a school of higher grade	shingaku	1
大学院	graduate school	daigakuin	1
拡大	magnification, enlargement	kakudai	1
調べる	investigate, check	shiraberu	1
責任	responsibility, liability	sekinin	1
辞める	resign, retire	yameru	1
辞書	dictionary	jisho	1
会社	company, corporation	kaisha	1
大使館	embassy	taishikan	1
地下鉄	subway	chikatetsu	1
通勤	commuting, commutation	tsuukin	1
勤める	serve, hold a job	tsutomeru	1
事務所	office, one's place of business	jimusho	1
事務室	office	jimushitsu	1
従来	former, old	juurai	1
命令	command, order	meirei	1
従兄弟	cousin	itoko	1
成績	results, record	seiseki	1
まあまあ	OK, not bad, average	maamaa	1
情報	information	jouhou	1
集める	collect, gather	atsumeru	1
集まる	gather, be collected	atsumaru	1
各国	every country	kakkoku	1
正月	New Year	shougatsu	1
採用	employment	saiyou	1
給料	salary, pay	kyuuryou	1
毎年	every year	mainen	1
卒業	graduation	sotsugyou	1
高等学校	senior high school	koutougakkou	1
受ける	receive, accept	ukeru	1
自動車	automobile	jidousha	1
就職	finding employment	shuushoku	1
退院	discharge from a hospital	taiin	1
契約	contract, agreement	keiyaku	1
交渉	negotiation, bargaining	koushou	1
関係	relation, relationship	kankei	1
参加	participation	sanka	1
増加	increase, gain	zouka	1
加工	processing, manufacturing	kakou	1
いかが	how, what	ikaga	1
比べる	compare, contrast	kuraberu	1
評価	evaluation, appraisal	hyouka	1
対象	target, object	taishou	1
修理	repair, mending	shuuri	1
乗り換える	change, transfer	norikaeru	1
乗り換え	change, transfer	norikae	1
換える	exchange, convert	kaeru	1
着替える	change clothes	kigaeru	1
備える	provide for, furnish	sonaeru	1
破る	tear, break through, breach	yaburu	1
破れる	tear, rip open	yabureru	1
機械	machine	kikai	1
壊す	break, destroy, smash	kowasu	1
壊れる	break, break down, get out of order	kowareru	1
立派	fine, excellent	rippa	1
管理	management, administration	kanri	1
事件	affair, case	jiken	1
逮捕	arrest, capture	taiho	1
戦争	war, battle	sensou	1
捨てる	discard, abandon	suteru	1
スケート	skate, skates	sukeeto	1
電池	electric cell, battery	denchi	1
深い	deep, profound, intimate	fukai	1
浅い	shallow, superficial	asai	2
何か	something, some	nanika	1
割れる	crack, be divided, split	wareru	1
泳ぐ	swim	oyogu	1
流行る	be in fashion, be popular	hayaru	1
先ず	first	mazu	1
洗う	wash	arau	1
下着	underwear	shitagi	1
洗面所	washroom, bathroom	senmenjo	1
油	oil, animal oil	abura	1
沈む	sink, set	shizumu	1
久しぶり	after a long time	hisashiburi	1
氷	ice	koori	1
冷える	cool down, feel chilly	hieru	1
冷やす	cool, chill	hiyasu	1
冷める	cool off, subside	sameru	1
凍る	freeze, congeal	kooru	1
故障	malfunction, fault, breakdown	koshou	1
冷蔵庫	refrigerator	reizouko	1
涼しい	cool, refreshing	suzushii	1
ズボン	trousers, pants	zubon	1
汚す	make dirty, soil	yogosu	1
汚れる	become dirty, become defiled	yogoreru	1
景色	scenery, landscape	keshiki	1
影響	influence, effect	eikyou	1
光る	shine, emit light	hikaru	1
太る	grow fat, fatten	futoru	1
指	finger, toe	yubi	1
西	west, western	nishi	1
ぎらぎら	dazzling, glaring, blinding	giragira	1
存在	existence, being	sonzai	1
発見	discovery, revelation	hakken	1
星	star, planet, spot	hoshi	1
昨夜	last night, last evening	yuube	1
回る	turn round, go round, detour	mawaru	1
うまい	good at	umai	1
野球	baseball	yakyuu	1
間	interval	aida	1
雲	cloud	kumo	1
曇り	cloudiness, cloudy weather	kumori	1
昨年	last year	sakunen	1
研究	research, study	kenkyuu	1
地震	earthquake	jishin	1
震える	tremble, quiver, shake	furueru	1
揺れる	shake, sway, rock	yureru	1
ぐらぐら	wobble	guragura	1
神社	Shinto shrine	jinja	1
秘密	secret, privacy	himitsu	1
条件	condition, item	jouken	1
規則	rule, regulation	kisoku	1
寒さ	coldness, cold	samusa	1
年寄り	old person, older councilor	toshiyori	1
世紀	century	seiki	1
建設	construction, building	kensetsu	1
中心	center, middle	chuushin	1
建物	building, structure	tatemono	1
建つ	be built, be erected	tatsu	1
番地	lot number, address	banchi	1
構成	organization	kousei	1
構造	construction, structure	kouzou	1
渡る	cross, ford, go across	wataru	1
橋	bridge	hashi	1
ぶつかる	hit, bump into	butsukaru	1
柱	pillar, prop	hashira	1
新聞	newspaper	shinbun	1
位置	position, place	ichi	1
離婚	divorce	rikon	1
バス停	bus stop	basutei	1
大会	mass meeting, tournament	taikai	1
周辺	environs, circumference	shuuhen	1
田んぼ	rice field	tanbo	1
聞こえる	hear, be heard	kikoeru	1
黄色	yellow	kiiro	1
横	side, width across	yoko	1
横書き	horizontal writing	yokogaki	1
段階	stage	dankai	1
判断	judgment, decision	handan	1
基準	standard, criterion	kijun	1
断る	refuse, turn down	kotowaru	1
横断歩道	pedestrian crossing, crosswalk	oudanhodou	1
大幅	drastically, substantially	oohaba	1
年間	period of one year	nenkan	1
訪れる	visit, call on	otozureru	1
訪ねる	visit, call on	tazuneru	1
冷房	air conditioning	reibou	1
暖房	heating	danbou	1
文房具	stationery, writing materials	bunbougu	1
メニュー	menu, bill of fare	menyuu	1
諸国	various countries	shokoku	2
対策	measure, action	taisaku	1
宿題	homework	shukudai	1
増やす	increase, add	fuyasu	1
町	town, machi, city quarter	machi	1
貿易	trade, commerce	boueki	1
輸入	import	yunyuu	1
輸出	export	yushutsu	1
指輪	ring	yubiwa	1
大切	important, valuable	taisetsu	1
往復	going and returning, round trip	oufuku	1
復習	review	fukushuu	1
繰り返す	repeat	kurikaesu	1
国内	domestic, internal	kokunai	1
広がる	spread out, reach	hirogaru	1
他	others, other things	ta	1
グラス	glass	gurasu	2
留学	studying abroad	ryuugaku	1
停留所	stop, station	teiryuujo	1
書留	registered mail	kakitome	1
自然	nature	shizen	1
守る	protect, observe	mamoru	1
自然	natural, naturally	shizen	1
約束	promise, vow	yakusoku	1
留守	not at home	rusu	1
主人	master, husband	shujin	1
自宅	one's house, one's home	jitaku	1
お宅	your home, you, fan, geek	otaku	1
大変	awful, serious	taihen	1
交通事故	traffic accident	koutsuujiko	1
ぐっすり	soundly	gussuri	1
昼寝	siesta, nap	hirune	1
住宅	housing, residence	juutaku	1
静か	quiet, tranquil	shizuka	1
暇	free time, spare time	hima	1
趣味	hobby, interest	shumi	1
両方	both	ryouhou	1
両替	money changing, exchange of money	ryougae	1
片道	one way	katamichi	1
内側	inside, interior	uchigawa	1
パトカー	police car, patrol car	patokaa	1
向こう側	other side	mukougawa	1
外側	exterior, outside	sotogawa	1
左側	left side	hidarigawa	1
右側	right side	migigawa	1
裏	rear, reverse, inside	ura	1
裏返す	turn over, turn inside out	uragaesu	1
週刊誌	weekly magazine	shuukanshi	1
朝刊	morning edition	choukan	1
夕刊	evening edition	yuukan	1
小説	novel, story	shousetsu	1
詳しい	detailed, complete	kuwashii	2
細かい	minute, elaborate	komakai	1
細か	minute, elaborate	komaka	1
積もる	accumulate, get accumulated	tsumoru	1
訳	translation, rendering	yaku	2
訳す	translate	yakusu	1
検討	consideration, inspection	kentou	1
プログラム	program	puroguramu	1
付ける	attach, set, apply	tsukeru	1
受け付ける	receive, accept	uketsukeru	1
片付ける	put in order, dispose of, do away with	katazukeru	1
受付	receptionist, information office	uketsuke	1
近付く	approach, get acquainted	chikazuku	1
片付く	be put in order, be settled	katazuku	1
気を付ける	take care of, pay attention to	kiwotsukeru	1
記念日	memorial day, anniversary	kinenbi	1
残念	regretful, disappointing	zannen	1
行き	going	yuki	1
具体的	concrete, specific	gutaiteki	1
例えば	for example	tatoeba	1
例文	illustrative sentence, example	reibun	1
例	example, precedent	rei	1
余る	remain over, be in excess	amaru	1
除く	rid of, exclude	nozoku	1
削る	grind down, trim, scale back	kezuru	1
やはり	as expected, also, still	yahari	1
遅刻	tardiness, lateness	chikoku	1
緩い	slack, loose	yurui	1
数字	figure, numeral	suuji	1
苦しい	painful, difficult	kurushii	1
苦い	bitter, sour	nigai	1
苦手	person that is hard to deal with, weak point	nigate	1
困る	be at a loss, in a jam, in trouble	komaru	1
貧乏	poverty, destitution	binbou	1
不幸	unhappiness, misfortune, bereavement	fukou	1
幸せ	happiness, good fortune	shiawase	1
加える	add, include	kuwaeru	1
少々	a little, a few	shoushou	1
塩	salt	shio	1
塩辛い	salty	shiokarai	1
ちょっと	just a moment, just a little, easily	chotto	1
砂糖	sugar	satou	1
規模	scale, scope	kibo	1
農業	agriculture	nougyou	1
濃い	thick, concentrated, dark-colored	koi	1
薄い	thin, weak, pale	usui	1
味	taste, flavor	aji	1
厚い	thick, bulky	atsui	1
迫る	press, close in on, be imminent	semaru	1
ゴム	elastic	gomu	1
業者	businessman	gyousha	1
越える	go over, go across, go beyond	koeru	1
引っ越し	moving	hikkoshi	1
追い越す	outrun, overtake	oikosu	1
上昇	ascension, rising	joushou	1
確か	for sure, for certain	tashika	1
改札口	ticket barrier, wicket	kaisatsuguchi	1
失礼	impoliteness, bad manners, I beg your parden/Goodbye	shitsurei	1
お礼	thanks, reward, return present	orei	1
どなた	who	donata	1
謝る	apologize	ayamaru	1
注射	injection, shot	chuusha	1
社員	staff member, employee	shain	1
誘う	invite, ask out	sasou	1
導入	introduction	dounyuu	1
努力	endeavor, effort	doryoku	1
当然	natural, as a matter of course	touzen	1
めったに	rarely	mettani	1
独身	single life, celibacy	dokushin	1
家内	my wife	kanai	1
処理	management, process	shori	1
紹介	introduction, presentation	shoukai	1
招く	invite, beckon, engage	maneku	1
ソース	sauce, Worcestershire sauce	soosu	1
招待	invitation	shoutai	1
生まれる	be born, come into existence	umareru	1
夫婦	husband and wife, married couple	fuufu	1
奥さん	married lady, your wife	okusan	1
年下	younger, junior	toshishita	1
競争	competition	kyousou	1
方向	direction, course	houkou	1
見物	sightseeing, visit	kenbutsu	1
知らせる	let know, inform	shiraseru	1
皆さん	everybody, ladies and gentlemen	minasan	1
皆様	everyone, ladies and gentlemen	minasama	1
経営	management, operation	keiei	1
大統領	president (of a country)	daitouryou	1
相手	opponent	aite	1
未来	future	mirai	1
盗む	steal, rob	nusumu	1
誰か	someone	dareka	1
国籍	nationality, citizenship	kokuseki	1
愛	love	ai	1
可愛い	cute, charming, sweet	kawaii	1
着せる	dress, put on clothes	kiseru	1
恋人	lover, sweetheart	koibito	1
誕生日	birthday	tanjoubi	1
祝日	holiday, festival day	shukujitsu	1
お祝い	celebrate	oiwai	1
実現	implementation, realization	jitsugen	1
泣く	cry, weep	naku	1
涙	tear	namida	1
こぼれる	spill, overflow	koboreru	1
喜ぶ	be happy, be delighted	yorokobu	1
恥ずかしい	shy, ashamed, disgraceful	hazukashii	1
弁当	box lunch, picnic lunch	bentou	1
高さ	height	takasa	1
登る	climb, mount, go up	noboru	1
看護婦	female nurse	kangofu	1
訴える	sue	uttaeru	1
迷う	be perplexed, hesitate, get lost	mayou	1
占める	occupy, hold	shimeru	1
迷惑	trouble, annoyance	meiwaku	1
地域	region, area	chiiki	1
活動	activity	katsudou	1
住民	residents, dwellers	juumin	1
危険	danger, dangerous	kiken	1
政権	political power	seiken	1
贈る	offer, give	okuru	1
贈り物	present, gift	okurimono	1
与える	give	ataeru	1
資金	funds, capital	shikin	1
貯金	savings, deposit	chokin	1
毎月	every month	maitsuki	1
預かる	receive on deposit, take charge of	azukaru	1
分野	field, sphere	bunya	1
料理	cooking, handling	ryouri	1
得意	one's forte, pride, customer	tokui	1
理科	science	rika	1
燃える	burn, undergo combustion	moeru	1
焼ける	burn, be scorched, be baked	yakeru	1
すき焼き	sukiyaki	sukiyaki	1
肉	flesh, meat	niku	1
焼く	burn, bake, be envious	yaku	1
乾杯	a toast	kanpai	1
乾かす	dry	kawakasu	1
新幹線	Shinkansen, Bullet Train	shinkansen	1
速さ	speed	hayasa	1
行き	going	iki	1
素晴らしい	splendid, excellent	subarashii	1
家庭	home, family	katei	1
花	flower	hana	1
咲く	bloom, blossom	saku	1
桜	cherry tree, cherry blossom	sakura	1
吹く	blow, play on a wind instrument	fuku	1
毎日	every day	mainichi	1
海岸	seashore, coast	kaigan	1
あちこち	all over	achikochi	1
植える	plant, raise	ueru	1
庭	garden, court	niwa	1
屋根	roof	yane	1
黒板	blackboard	kokuban	1
掲示板	notice board, bulletin board	keijiban	1
チョーク	chalk	chooku	1
牛	cattle, cow	ushi	1
草	grass, weed	kusa	1
葉	leaf, needle	ha	1
絵葉書	picture postcard	ehagaki	1
葉書	postcard	hagaki	1
警察	police	keisatsu	1
親しい	intimate, familiar	shitashii	1
救急車	ambulance	kyuukyuusha	1
吸う	inhale, suck	suu	1
普及	diffusion, spread	fukyuu	1
手術	surgical operation	shujutsu	1
効果	effect, result	kouka	1
胃	stomach	i	1
割る	divide, crack, split	waru	1
皿	plate, counter for plates or helpings	sara	1
血	blood	chi	1
内容	contents	naiyou	1
会談	conversation, meeting	kaidan	1
背景	background, scenery, setting	haikei	1
実際	truth, actual state	jissai	1
かゆい	itchy	kayui	1
滑る	slide, slip, flunk an examination	suberu	1
骨	bone, frame, spirit	hone	1
健康	healthy	kenkou	1
水泳	swimming	suiei	1
珍しい	rare, precious	mezurashii	1
撮る	photograph, shoot, film	toru	1
国会	National Diet, parliament	kokkai	1
再び	again, a second time	futatabi	1
再来年	the year after next	sarainen	1
再来月	the month after next	saraigetsu	1
再来週	the week after next	saraishuu	1
放送	broadcasting	housou	1
装置	equipment, device	souchi	1
仮名	kana, Japanese syllabary	kana	1
送り仮名	kana suffix	okurigana	1
悲しむ	feel sad, lament	kanashimu	1
流れる	flow, pass, drift away	nagareru	1
美術館	art museum	bijutsukan	1
美人	beautiful woman	bijin	1
博物館	museum	hakubutsukan	1
開催	holding (of an event), opening	kaisai	1
特徴	distinctive feature, characteristic	tokuchou	1
今回	this time	konkai	1
許す	permit, license, forgive	yurusu	1
免許証	license	menkyoshou	1
述べる	state orally, expound, mention	noberu	1
食事	meal, dinner	shokuji	1
代わる	substitute, be substituted for	kawaru	1
固い	stiff, tight	katai	1
厳しい	strict, severe, intense	kibishii	1
教師	teacher, instructor	kyoushi	1
進める	advance, promote	susumeru	1
設ける	set up, establish	moukeru	1
実験	experiment	jikken	1
教授	professor	kyouju	1
間に合う	be in time, answer the purpose, can do without	maniau	1
伝える	convey, transmit, hand down	tsutaeru	1
忙しい	busy, occupied	isogashii	1
逃げる	escape, run away	nigeru	1
鳥	bird, poultry	tori	1
鳴る	sound, ring, roar	naru	1
鳴く	cry, chirp, meow	naku	1
目覚まし時計	alarm clock	mezamashidokei	1
声	voice, sound	koe	1
卵	egg	tamago	1
やる	give (to an inferior)	yaru	1
隣	neighboring house, next seat	tonari	1
振る	wave, shake, brandish	furu	1
助ける	help, save	tasukeru	1
駐車場	parking area	chuushajou	1
騒ぐ	make a racket, mess around, make a fuss	sawagu	1
刺身	sashimi, sliced raw meat	sashimi	1
激しい	violent, intense	hageshii	1
降る	fall, come down	furu	1
示す	show, indicate	shimesu	1
歴史	history	rekishi	1
驚く	be surprised, be startled	odoroku	1
停車	stoppage	teisha	1
木	tree, wood	ki	1
倒れる	fall over, succumb	taoreru	1
倒す	bring down, overthrow, defeat	taosu	1
傾向	tendency, disposition	keikou	1
急	urgent, dire, pressing	kyuu	1
よろしい	all right	yoroshii	1
柔道	judo	juudou	1
柔らか	soft, tender, gentle	yawaraka	1
主張	insistence, assertion	shuchou	1
引っ張る	pull, drag	hipparu	1
消える	be extinguished, disappear	kieru	1
突き当たる	hit against, come to the end of	tsukiataru	1
突き当たり	end of a street	tsukiatari	1
文字	character, letter	moji	1
塗る	spread on, paint	nuru	1
弾く	play on	hiku	1
地球	the Earth	chikyuu	1
丸い	round	marui	1
丸	circle or sphere, wholeness	maru	1
攻撃	attack, criticism	kougeki	1
消防車	fire engine	shoubousha	1
殺す	kill, smother	korosu	1
嫌	dislike, have a dislike for	iya	1
歯医者	dentist	haisha	1
大嫌い	hate	daikirai	1
大勢	large numbers, a lot of	oozei	1
姿	figure, appearance	sugata	1
姿勢	posture, attitude	shisei	1
夢	dream	yume	1
恐ろしい	terrible, awful	osoroshii	1
怖い	fearful, be afraid	kowai	1
孫	grandchild	mago	1
木綿	cotton	momen	1
偉い	great, famous, eminent	erai	1
爪	nail, claw	tsume	1
奥	inner part, the back, inner chamber	oku	1
机	desk, table	tsukue	1
貼る	stick, paste	haru	1
組み立てる	build, set up, construct	kumitateru	1
棚	cupboard, shelf, rack	tana	1
本棚	bookshelf	hondana	1
折れる	snap, be folded, give in	oreru	1
用いる	use, make use of	mochiiru	1
商業	commerce, trade	shougyou	1
方針	course, policy	houshin	1
糸	thread, yarn	ito	1
釣る	angle, fish	tsuru	1
お釣り	change	otsuri	1
預ける	deposit, entrust	azukeru	1
無くす	lose, get rid of	nakusu	1
鍋	pan, saucepan	nabe	1
うまい	delicious, tasty	umai	1
こぼす	spill	kobosu	1
寿司	sushi	sushi	1
夕飯	evening meal, supper	yuuhan	1
昼食	lunch	chuushoku	1
ただ	free	tada	1
泥棒	thief, crook	dorobou	1
沸かす	boil, excite	wakasu	1
やかん	kettle	yakan	1
乾く	dry, run dry	kawaku	1
洗濯機	washing machine	sentakuki	1
洗濯	laundering, washing	sentaku	1
濡れる	get wet	nureru	1
喫茶店	coffee shop, tea house, café	kissaten	1
怠ける	be lazy, neglect	namakeru	1
一生懸命	for life, with all one's might	isshoukenmei	1
休憩	rest, repose	kyuukei	1
天井	ceiling	tenjou	1
納豆	natto (fermented soybeans)	nattou	1
朝食	breakfast	choushoku	1
まく	scatter, plant	maku	1
化粧	make up, put on makeup	keshou	1
畑	field, vegetable garden	hatake	1
炊く	cook, boil	taku	1
自炊	cooking food for oneself	jisui	1
灰皿	ashtray	haizara	1
灰	ashes	hai	1
西暦	Christian Era, A.D.	seireki	1
伸びる	stretch, grow	nobiru	1
髪	hair, hairstyle	kami	1
鏡	mirror	kagami	1
美容院	beauty shop	biyouin	1
くし	comb	kushi	1
とんとん	tapping	tonton	1
舌	tongue	shita	1
臭い	ill-smelling, stinking	kusai	1
匂い	smell, odor	nioi	1
居る	be present	iru	1
履く	put on footwear, wear	haku	1
戸	door, shutter	to	1
扇風機	electric fan	senpuuki	1
豚	pig, pork	buta	1
豚肉	pork, hog meat	butaniku	1
鶏	chicken, hen	niwatori	1
刺す	stab, prick, sting	sasu	1
腕時計	wrist watch	udedokei	1
分ける	divide into parts, sort, share	wakeru	1
半分	half	hanbun	1
お菓子	sweets, snacks	okashi	1
お土産	souvenir	omiyage	1
お辞儀	bow	ojigi	1
寝坊	late riser, oversleeping	nebou	1
旗	flag, banner	hata	1
鉛筆	pencil	enpitsu	1
万年筆	fountain pen	mannenhitsu	1
箱	box, case	hako	1
下ろす	bring down, take down, pull down	orosu	1
本箱	bookcase	honbako	1
ビニール	plastic bag	biniiru	1
手袋	gloves	tebukuro	1
袋	bag, sack	fukuro	1
落とす	drop, omit	otosu	1
拾う	pick up, find	hirou	1
財布	purse, wallet	saifu	1
柔らかい	soft	yawarakai	1
毛布	blanket	moufu	1
押し入れ	closet	oshiire	1
引き出し	drawer, withdrawal	hikidashi	1
中	inside, middle	naka	1
レシート	receipt	reshiito	1
小包	parcel, package	kozutsumi	1
包む	wrap, pack	tsutsumu	1
飾る	decorate, exhibit	kazaru	1
手帳	pocketbook, memo	techou	1
電話帳	telephone book	denwachou	1
牛乳	milk	gyuunyuu	1
玄関	entrance, door	genkan	1
眼鏡	glasses, judgment	megane	1
患者	patient	kanja	1
赤ちゃん	baby	akachan	1
眠い	sleepy	nemui	1
眠る	sleep	nemuru	1
大きさ	size, dimensions	ookisa	1
封筒	envelope	fuutou	1
壁	wall, partition	kabe	1
鍵	key, lock	kagi	1
出掛ける	go out, be about to go out	dekakeru	1
用事	things to do, errand, business	youji	1
掛かる	hang, splash, require	kakaru	1
掛け算	multiplication	kakezan	1
拍手	applause, clapping	hakushu	1
トイレ	toilet	toire	1
掃除	cleaning	souji	1
掃除機	vacuum cleaner	soujiki	1
握る	grasp, make hand-rolled sushi balls	nigiru	1
握手	handshake, handshaking	akushu	1
迎える	welcome, go out to meet, invite	mukaeru	1
お巡りさん	policeman	omawarisan	1
カラー	color	karaa	1
幾つ	how many, how old	ikutsu	1
移す	move, shift, transfer	utsusu	1
いつか	some time, some day	itsuka	1
力	strength, power	chikara	1
批判	criticism, comment	hihan	1
冗談	joke	joudan	1
寂しい	lonely, desolate, sad	sabishii	1
丁寧	polite, courteous, careful	teinei	1
後	after, afterwards	nochi	1
可哀相	poor, pitiable	kawaisou	1
事故	accident, incident	jiko	1
怪我	injury	kega	1
ひざ	knee	hiza	1
ひじ	elbow	hiji	1
我慢	patience, self-restraint	gaman	1
幼稚園	kindergarten	youchien	1
太陽	sun	taiyou	1
隠れる	hide, disappear	kakureru	1
日陰	the shade	hikage	1
随分	extremely, considerably	zuibun	1
犬	dog	inu	1
試験	test, examination	shiken	1
頑張る	persist, be tenacious	ganbaru	1
頃	time	koro	1
かつて	once, formerly	katsute	1
大抵	generally, mostly	taitei	1
この頃	now, these days, recently	konogoro	1
消防署	fire station	shoubousho	1
尋ねる	inquire, search for	tazuneru	1
絶対に	absolutely, unconditionally	zettaini	1
缶詰	canned goods, cooping-up	kanzume	1
缶	can, tin	kan	1
腐る	rot, corrode	kusaru	1
豆腐	tofu	toufu	1
床	floor	yuka	1
床屋	barber, barbershop	tokoya	1
掃く	sweep, brush	haku	1
畳	tatami, mat	tatami	1
畳む	fold, shut	tatamu	1
布団	futon, bedquilt	futon	1
干す	dry, desiccate	hosu	1
目立つ	stand out, be conspicuous	medatsu	1
帽子	cap, hat	boushi	1
被る	wear, put on	kaburu	1
是非	by all means, at any cost	zehi	1
敬語	honorific language, polite speech	keigo	1
敷く	lay, spread	shiku	2
馬	horse	uma	1
雷	thunder, lightning	kaminari	1
零	zero, naught	rei	1
仕舞う	put away	shimau	1
踊る	dance	odoru	1
踊り	dance, dancing	odori	1
踏む	step on, tread on	fumu	1
踏切	railroad crossing	fumikiri	1
蹴る	kick	keru	1
食堂	dining hall, restaurant	shokudou	1
生む	have children	umu	1
猫	cat, feline	neko	1
毛	hair, wool	ke	1
文章	writing, prose	bunshou	1
程度	degree, extent	teido	1
歯	tooth, cog	ha	1
散歩	walk, stroll	sanpo	1
尊敬	respect, esteem, honor	sonkei	1
折る	break off, fold, bend	oru	1
早起き	early rising	hayaoki	1
冬休み	winter vacation	fuyuyasumi	1
丈夫	healthy, stout	joubu	1
祖父	grandfather	sofu	1
祖母	grandmother	sobo	1
欠席	absence, nonattendance	kesseki	1
邪魔	disturbing	jama	1
治す	cure, heal	naosu	1
風邪薬	remedy for a cold	kazegusuri	1
沸く	boil, be excited	waku	1
転ぶ	tumble down, fall over	korobu	1
風呂屋	bathhouse, public bath	furoya	1
ぬるい	tepid, lukewarm	nurui	1
風呂	bath	furo	1
湯	hot water, hot bath, bathhouse	yu	1
昭和	Showa era	shouwa	1
紫	purple	murasaki	1
紅茶	black tea	koucha	1
梅雨	rainy season	tsuyu	1
桃	peach, peach tree	momo	1
遭う	meet with, encounter	au	1
枕	pillow	makura	1
嘘	lie	uso	1
怒る	get angry, scold	okoru	1
遠慮	reserve, hesitation, forethought	enryo	1
叱る	scold, tell off, reprimand	shikaru	1
傘	umbrella, parasol	kasa	1
お嬢さん	young lady, your daughter	ojousan	1
年賀状	New Year's card	nengajou	1
賑やか	lively, exciting	nigiyaka	1
蚊	mosquito	ka	1
拭く	wipe, dry	fuku	1
会長	president, chairperson	kaichou	1
挨拶	greet, greeting	aisatsu	1
伴う	accompany, go with	tomonau	1
巻く	roll up, wind, wrap	maku	1
着く	arrive, make contact, settle	tsuku	1
引っ越す	move, change quarters	hikkosu	1
両親	parents	ryoushin	1
合う	fit	au	1
穴	hole, cavity	ana	1
デパート	department store, department	depaato	1
靴	shoes, boots	kutsu	1
付く	attach itself to, be connected with, come in contact with	tsuku	1
気に入る	like, be pleased with	kiniiru	1
脱ぐ	remove clothes, take off	nugu	1
靴下	socks, stockings	kutsushita	1
幾ら	how much	ikura	1
汚れ	dirt, filth	yogore	1
ひも	laces, string, rope	himo	1
磨く	polish, grind	migaku	1
歯磨き	toothpaste, brushing one's teeth	hamigaki	1
廊下	hallway, corridor	rouka	1
ガラス	glass	garasu	1
瓶	bottle, flask	bin	1
褒める	praise, commend	homeru	1
元旦	New Year's Day	gantan	1
池	pond	ike	1
袖	sleeve	sode	1
長袖	clothes with long sleeves	nagasode	1
半袖	short-sleeved shirt	hansode	1
馬鹿	fool, nonsense	baka	1
凄い	wonderful, great, incredible	sugoi	1
剃る	shave	soru	1
喧嘩	fight, quarrel, argument	kenka	1
からから	thirsty, dry	karakara	1
叩く	tap, hit	tataku	1
噛む	bite, chew	kamu	1
足す	add, supplement	tasu	1
味噌汁	miso soup	misoshiru	1
姪	niece	mei	1
苺	strawberry	ichigo	1
茄子	eggplant	nasu	1
逢う	meet	au	1
椅子	chair	isu	1
形	shape, form	katachi	1
痩せる	lose weight, become thin	yaseru	1
箸	chopsticks	hashi	1
