#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
72	2	1	広い	hiroi	wide, big	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
73	2	1	数	suu	number	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
74	2	1	近い	chikai	near, close	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
76	2	1	走る	hashiru	run	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
77	2	1	入れる	ireru	put in	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
78	2	1	教える	oshieru	teach, tell	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
79	2	1	歩く	aruku	walk, go on foot	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
80	2	1	会う	au	meet	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
81	2	2	書く	kaku	write	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
82	2	2	頭	atama	head	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
83	2	2	売る	uru	sell	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
85	2	2	体	karada	body, physique	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
86	2	2	直ぐ	sugu	at once, soon	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
87	2	2	飛ぶ	tobu	fly	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
89	2	2	誰	dare	who	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
90	2	2	好き	suki	favorite, liked	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
91	2	3	読む	yomu	read	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
92	2	3	次	tsugi	next	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
94	2	3	飲む	nomu	drink	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
95	2	3	古い	furui	old	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
96	2	3	質問	shitsumon	question	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
97	2	3	今日	kyou	today (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
98	2	3	友達	tomodachi	friend, companion (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
99	2	3	早い	hayai	early	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
101	2	4	美しい	utsukushii	beautiful	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
103	2	4	足	ashi	leg, foot	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
104	2	4	起こす	okosu	wake (someone) up	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
105	2	4	見せる	miseru	show	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
106	2	4	娘	musume	daughter, girl	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
107	2	4	楽しむ	tanoshimu	enjoy	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
110	2	4	取る	toru	take, get	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
111	2	5	勉強	benkyou	study	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
113	2	5	短い	mijikai	short, brief	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
114	2	5	落ちる	ochiru	fall, come down	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
115	2	5	息子	musuko	son	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
